level,rule,order_count,revenue
2,Day_of_Week=Tue and amount_bd_bin=bucket_5,29.0,54852.0
2,Day_of_Week=Tue and Total_Garment_bucket=bucket_4,159.0,59835.0
2,Day_of_Week=Tue and amount_bd_bin=bucket_1,377.0,59135.0
2,Day_of_Week=Tue and Store_Name=AECS,11.0,4848.0
2,Day_of_Week=Tue and Does_pickup_charge_exist=Y,540.0,202386.0
2,Day_of_Week=Tue and Store_Name=BANASWADI,44.0,23206.0
2,Day_of_Week=Tue and Store_Name=DOMLUR,482.0,179836.0
2,Day_of_Week=Tue and Store_Name=HSR,171.0,57055.0
2,Day_of_Week=Tue and Store_Name=SARJAPUR,57.0,16537.0
2,Day_of_Week=Tue and Service=Wash_&_Iron,27.0,5070.0
2,Service=Wash_&_Fold_(Kg_Basis) and Does_delivery_charge_exist=N,115.0,24900.0
2,Service=Wash_&_Fold_(Kg_Basis) and Payment_Mode=Online,645.0,199212.0
2,Service=Wash_&_Fold_(Kg_Basis) and Does_delivery_charge_exist=Y,555.0,180702.0
2,Service=Wash_&_Fold_(Kg_Basis) and Payment_Mode=Cash_to_store,17.0,3576.0
2,Service=Wash_&_Fold_(Kg_Basis) and Total_Garment_bucket=bucket_1,30.0,3246.0
2,Service=Wash_&_Fold_(Kg_Basis) and Total_Garment_bucket=bucket_2,113.0,16896.0
2,Service=Wash_&_Fold_(Kg_Basis) and Total_Garment_bucket=bucket_3,158.0,33078.0
2,Service=Wash_&_Fold_(Kg_Basis) and Total_Garment_bucket=bucket_5,185.0,96300.0
2,Service=Wash_&_Fold_(Kg_Basis) and amount_bd_bin=bucket_2,174.0,55794.0
2,Service=Wash_&_Fold_(Kg_Basis) and Does_pickup_charge_exist=N,115.0,24900.0
2,Service=Wash_&_Fold_(Kg_Basis) and amount_bd_bin=bucket_4,43.0,35244.0
2,Service=Wash_&_Fold_(Kg_Basis) and amount_bd_bin=bucket_3,117.0,58242.0
2,Service=Wash_&_Fold_(Kg_Basis) and Total_Garment_bucket=bucket_4,184.0,56082.0
2,Service=Wash_&_Fold_(Kg_Basis) and amount_bd_bin=bucket_1,334.0,53988.0
2,Service=Wash_&_Fold_(Kg_Basis) and Store_Name=AECS,9.0,3726.0
2,Service=Wash_&_Fold_(Kg_Basis) and Does_pickup_charge_exist=Y,555.0,180702.0
2,Service=Wash_&_Fold_(Kg_Basis) and Store_Name=BANASWADI,52.0,15114.0
2,Service=Wash_&_Fold_(Kg_Basis) and Store_Name=DOMLUR,384.0,117750.0
2,Service=Wash_&_Fold_(Kg_Basis) and Store_Name=HSR,172.0,48774.0
2,Service=Wash_&_Fold_(Kg_Basis) and Store_Name=SARJAPUR,53.0,20238.0
2,Service=Dry_Cleaning and Does_delivery_charge_exist=N,389.0,209142.0
2,Service=Dry_Cleaning and Payment_Mode=Online,639.0,415082.0
2,Service=Dry_Cleaning and Does_delivery_charge_exist=Y,305.0,255929.0
2,Service=Dry_Cleaning and Payment_Mode=Cash_to_store,43.0,43851.0
2,Service=Dry_Cleaning and Total_Garment_bucket=bucket_1,461.0,172229.0
2,Service=Dry_Cleaning and Total_Garment_bucket=bucket_2,162.0,155129.0
2,Service=Dry_Cleaning and Total_Garment_bucket=bucket_3,52.0,88581.0
2,Service=Dry_Cleaning and Total_Garment_bucket=bucket_5,3.0,11444.0
2,Service=Dry_Cleaning and amount_bd_bin=bucket_2,161.0,57340.0
2,Service=Dry_Cleaning and Does_pickup_charge_exist=N,389.0,209142.0
2,Service=Dry_Cleaning and amount_bd_bin=bucket_4,127.0,107700.0
2,Service=Dry_Cleaning and amount_bd_bin=bucket_3,117.0,62239.0
2,Service=Dry_Cleaning and amount_bd_bin=bucket_5,117.0,209014.0
2,Service=Dry_Cleaning and Total_Garment_bucket=bucket_4,16.0,37688.0
2,Service=Dry_Cleaning and amount_bd_bin=bucket_1,172.0,28778.0
2,Service=Dry_Cleaning and Store_Name=AECS,24.0,16681.0
2,Service=Dry_Cleaning and Does_pickup_charge_exist=Y,305.0,255929.0
2,Service=Dry_Cleaning and Store_Name=BANASWADI,46.0,25511.0
2,Service=Dry_Cleaning and Store_Name=DOMLUR,452.0,300266.0
2,Service=Dry_Cleaning and Store_Name=HSR,120.0,92051.0
2,Service=Dry_Cleaning and Store_Name=SARJAPUR,52.0,30562.0
2,Does_delivery_charge_exist=N and Payment_Mode=Online,1005.0,348221.0
2,Does_delivery_charge_exist=N and Payment_Mode=Cash_to_store,94.0,40432.0
2,Does_delivery_charge_exist=Y and Payment_Mode=Online,2659.0,1023688.0
2,Does_delivery_charge_exist=Y and Payment_Mode=Cash_to_store,83.0,47566.0
2,Service=Premium_Laundry and Does_delivery_charge_exist=N,167.0,66712.0
2,Service=Premium_Laundry and Payment_Mode=Online,248.0,112280.0
2,Service=Premium_Laundry and Does_delivery_charge_exist=Y,100.0,57542.0
2,Service=Premium_Laundry and Payment_Mode=Cash_to_store,15.0,10430.0
2,Service=Premium_Laundry and Total_Garment_bucket=bucket_1,180.0,46636.0
2,Service=Premium_Laundry and Total_Garment_bucket=bucket_2,53.0,31608.0
2,Service=Premium_Laundry and Total_Garment_bucket=bucket_3,26.0,31554.0
2,Service=Premium_Laundry and Total_Garment_bucket=bucket_5,1.0,4650.0
2,Service=Premium_Laundry and amount_bd_bin=bucket_2,47.0,15770.0
2,Service=Premium_Laundry and Does_pickup_charge_exist=N,168.0,67712.0
2,Service=Premium_Laundry and amount_bd_bin=bucket_4,34.0,29496.0
2,Service=Premium_Laundry and amount_bd_bin=bucket_3,38.0,19978.0
2,Service=Premium_Laundry and amount_bd_bin=bucket_5,17.0,34608.0
2,Service=Premium_Laundry and Total_Garment_bucket=bucket_4,7.0,9806.0
2,Service=Premium_Laundry and amount_bd_bin=bucket_1,131.0,24402.0
2,Service=Premium_Laundry and Store_Name=AECS,9.0,4198.0
2,Service=Premium_Laundry and Does_pickup_charge_exist=Y,99.0,56542.0
2,Service=Premium_Laundry and Store_Name=BANASWADI,19.0,14534.0
2,Service=Premium_Laundry and Store_Name=DOMLUR,165.0,73620.0
2,Service=Premium_Laundry and Store_Name=HSR,49.0,20822.0
2,Service=Premium_Laundry and Store_Name=SARJAPUR,25.0,11080.0
2,Total_Garment_bucket=bucket_1 and Does_delivery_charge_exist=N,514.0,127092.0
2,Total_Garment_bucket=bucket_1 and Payment_Mode=Online,760.0,217935.0
2,Total_Garment_bucket=bucket_1 and Does_delivery_charge_exist=Y,309.0,106834.0
2,Total_Garment_bucket=bucket_1 and Payment_Mode=Cash_to_store,47.0,11075.0
2,Total_Garment_bucket=bucket_1 and amount_bd_bin=bucket_2,194.0,68609.0
2,Total_Garment_bucket=bucket_1 and Does_pickup_charge_exist=N,513.0,127004.0
